company_raw,company_norm,count
Кросстех солюшнс групп,кросстех солюшнс групп,1
Крупная Группа компаний,крупная группа компании,1
"Крупный многоотраслевой холдинг (20+ компаний; оборот 1+ трлн рублей; 50\,000+ сотрудников)",крупныи многоотраслевои холдинг 20+ компании оборот 1+ трлн рублеи 50 000+ сотрудников,1
"Крупный многопрофильный холдинг (ТОП-50 Forbes), NDA",крупныи многопрофильныи холдинг топ 50 forbes nda,1
ЛАНИТ,ЛАНИТ,1
Лаборатория Касперского,Лаборатория Касперского,1
Мантера-Групп,мантера групп,1
Международная группа «RATIONAL» (с 2023 г. ООО «Компонент»),международная группа rational с 2023 г компонент,1
Международная консалтинговая компания,международная консалтинговая компания,1
Международный университет ``МИТСО'',международныи университет митсо,1
Микроволновые системы,микроволновые системы,1
МойОфис (ООО «Новые Облачные Технологии»),моиофис новые облачные технологии,1
Независимый стратегический советник,независимыи стратегическии советник,1
ОАО ``Бизнес Партнер'' (JSC ``Business Partner''),бизнес партнер business partner,1
ООО ``AC КЛИНИК'',ac клиник,1
ООО ``АвтоЭксперт'',автоэксперт,1
"ООО ``Воланта'' (кадровое агентство, стартап)",воланта кадровое агентство стартап,1
ООО ``ЛАНИТ-Интеграция'',ланит интеграция,1
ООО ``Лонг Кэт'',лонг кэт,1
ООО ``О Спорт'',СПОРТ,1
ООО ``ПРАЙМ ГРУП'',праим груп,1
ООО ``РИТЭК'' (ЛУКОЙЛ),ритэк лукоил,1
ООО ``Руслет'' (первый производитель канатных дорог в РФ),руслет первыи производитель канатных дорог в рф,1
ООО ``Студия Давыдова'',студия давыдова,1
ООО «АльдераСофт»,альдерасофт,1
ООО «Сокроф»,сокроф,1
"ООО «Сэнд-Авто» (официальный дилер Hyundai, Kaiyi, Omoda, Jaecco)",сэнд авто официальныи дилер hyundai kaiyi omoda jaecco,1
ООО Газпромнефть-Цифровые решения,газпромнефть цифровые решения,1
ООО Крисклин,крисклин,1
ООО Метро Кеш энд Керри,метро кеш энд керри,1
ОТЭКО,ОТЭКО,1
Открытый контакт (ok.by),открытыи контакт ok by,1
ПАО «Газпром»,Газпром,1
ПАО «Мосэнерго»,мосэнерго,1
ПАО «НК «РОСНЕФТЬ»,нк роснефть,1
"Панавто, ООО",панавто,1
Пнппк,ПНППК,1
Поток.Диджитал (ex.\ Alfa Potok),поток диджитал ex alfa potok,1
"Проекты (UAE, Singapore)",проекты uae singapore,1
Производитель вычислительной техники,производитель вычислительнои техники,1
"РНИ-Сервис, РОСНАНО",рни сервис роснано,1
РУСАЛ / ЭН+ Холдинг,русал эн+ холдинг,1
"Ренессанс Страхование, Группа",ренессанс страхование группа,1
Росгеология,росгеология,1
СБЕР,Сбер,1
Самокат (ООО Умное пространство),самокат умное пространство,1
Северсталь (Лаборатория Измерительных Систем),северсталь лаборатория измерительных систем,1
Стратегический профиль,стратегическии профиль,1
Т1,Т1,1
ТОО Meat Ingredients,тоо meat ingredients,1
ТОО ``Wisk Telecom Solutions'',тоо wisk telecom solutions,1
ТОО ``Wisk telecom solutions'',тоо wisk telecom solutions,1
ТОО ``Протэк-Алматы'' (Концерн ``Протэк''),тоо протэк алматы концерн протэк,1
ТОО Марвеком,тоо марвеком,1
Торгово-производственная группа компаний (NDA),торгово производственная группа компании nda,1
Торговый Дом Влв (VIVA LA VIKA),торговыи дом влв viva la vika,1
Транскапиталбанк АКБ,транскапиталбанк акб,1
УК Полюс,ук полюс,1
ФГБУ ``Институт прикладной геофизики'',фгбу институт прикладнои геофизики,1
ФГБУ «Институт прикладной геофизики»,фгбу институт прикладнои геофизики,1
Феодальная сеть баров (62 бара в России и СНГ),феодальная сеть баров 62 бара в россии и снг,1
"Филиал ``Норт Каспиан Оперейтинг Компани Н.В.'' в РК (представительский офис, Астана)",филиал норт каспиан опереитинг компани н в в рк представительскии офис астана,1
Фриланс (Литва/РБ),фриланс литва рб,1
Холдинг УРАЛХИМ,холдинг уралхим,1
ЧП «ШАТЕ-М ПЛЮС»,чп шате м плюс,1
Частные эстетические клиники,частные эстетические клиники,1
Шате-М Плюс (shate-m.by),шате м плюс shate m by,1
Школа программирования 21,школа программирования 21,1
Элком-электро,элком электро,1
Энерго Технолоджис,энерго технолоджис,1
Яндекс,Яндекс,1
