token_norm,count,token_display
ci/cd collaboration (azure devops,1,Ci/Cd Collaboration (Azure Devops
monitoring (prometheus,1,Monitoring (Prometheus
sap (order/backlog support,1,Sap (Order/Backlog Support
digital programme delivery,1,Digital Programme Delivery
delivery governance (raid,1,Delivery Governance (Raid
google workspace (g-suite) including google analytics (ga,1,Google Workspace (G-Suite) Including Google Analytics (Ga
optimizely (experimentation,1,Optimizely (Experimentation
workfront,1,Workfront
genai / ai tools,1,Genai / Ai Tools
playwright (python/typescript,1,Playwright (Python/Typescript
gitlab ci & jenkins,1,Gitlab Ci & Jenkins
netsuite,1,Netsuite
erp: axapta,1,Erp: Axapta
power pivot,1,Power Pivot
java (spring boot,1,Java (Spring Boot
enterprise & government sales,1,Enterprise & Government Sales
complex deal negotiation,1,Complex Deal Negotiation
data analytics (ms excel,1,Data Analytics (Ms Excel
performance review (goals setting,1,Performance Review (Goals Setting
primalogic,1,Primalogic
typescript/javascript,1,Typescript/Javascript
go-to-market strategy,1,Go-To-Market Strategy
google drive,1,Google Drive
sdlc & ci/cd collaboration,1,Sdlc & Ci/Cd Collaboration
excel/google sheets,1,Excel/Google Sheets
power query,1,Power Query
программы поддержки продаж и лояльности (мотивация,1,программы поддержки продаж и лояльности (мотивация
бонусные схемы,1,бонусные схемы
коммерческие переговоры,1,коммерческие переговоры
бюджетирование и контроль затрат,1,бюджетирование и контроль затрат
sqlite,1,Sqlite
corporate governance,1,Corporate Governance
oracle siebel crm,1,Oracle Siebel Crm
java (понимание и доработки legacy,1,Java (Понимание И Доработки Legacy
python (валидация данных,1,Python (Валидация Данных
docker & kubernetes,1,Docker & Kubernetes
courselab,1,Courselab
eplan electric,1,Eplan Electric
kahoot,1,Kahoot
aws gpu,1,Aws Gpu
cloud/devops (ci/cd,1,Cloud/Devops (Ci/Cd
1c:enterprise / 1c:erp,1,1C:Enterprise / 1C:Erp
ci/cd quality improvements (jenkins,1,Ci/Cd Quality Improvements (Jenkins
databases (mysql,1,Databases (Mysql
azure (iaas,1,Azure (Iaas
multicloud (aws,1,Multicloud (Aws
azure landing zones,1,Azure Landing Zones
windows & linux hardening,1,Windows & Linux Hardening
aks & kubernetes,1,Aks & Kubernetes
azure iot/iiot & purdue model,1,Azure Iot/Iiot & Purdue Model
sql-to-text,1,Sql-To-Text
govtech & digital transformation,1,Govtech & Digital Transformation
hr operations & governance,1,Hr Operations & Governance
sap successfactors,1,Sap Successfactors
greenhouse ats,1,Greenhouse Ats
teamtailor ats,1,Teamtailor Ats
engagedly,1,Engagedly
ms office 365,1,Ms Office 365
sap r/3,1,Sap R/3
1c7/1c8,1,1C7/1C8
sql (mssql,1,Sql (Mssql
astra linux,1,Astra Linux
data platforms: python,1,Data Platforms: Python
test strategy & planning,1,Test Strategy & Planning
google forms,1,Google Forms
qlikview,1,Qlikview
minikube,1,Minikube
wiremock,1,Wiremock
автоматизация (excel,1,Автоматизация (Excel
digital sales (b2b/b2c,1,Digital Sales (B2B/B2C
spark,1,Spark
requirements review (figma,1,Requirements Review (Figma
aws logs (s3,1,Aws Logs (S3
test case design,1,Test Case Design
power bi (уровень аналитика,1,Power Bi (Уровень Аналитика
defect management,1,Defect Management
release validation & sign-off,1,Release Validation & Sign-Off
анализ логов и инцидентов (grafana,1,Анализ Логов И Инцидентов (Grafana
sql и nosql,1,Sql И Nosql
ci/cd для qa (jenkins,1,Ci/Cd Для Qa (Jenkins
sap fi,1,Sap Fi
microsoft sql server,1,Microsoft Sql Server
release support (jenkins,1,Release Support (Jenkins
pmo & portfolio governance,1,Pmo & Portfolio Governance
scalable & high-availability architecture,1,Scalable & High-Availability Architecture
distributed systems,1,Distributed Systems
hibernate,1,Hibernate
spring,1,Spring
ces,1,Ces
fcr,1,Fcr
управление эффективностью,1,управление эффективностью
сегментация рынка и маркетинговые кампании,1,сегментация рынка и маркетинговые кампании
kubernetes (bare-metal,1,Kubernetes (Bare-Metal
gitlab agent,1,Gitlab Agent
gitflow,1,Gitflow
observability: grafana,1,Observability: Grafana
