company,count,share_%
ВП МО РФ,1,0.1
Credo-Dialogue,1,0.1
111PG,1,0.1
Fingular,1,0.1
"ХОСТ, Группа компаний",1,0.1
NIL Foundation,1,0.1
Vellestroy LLC,1,0.1
Solar,1,0.1
X,1,0.1
University Lean Six Sigma,1,0.1
Astrum Entertainment,1,0.1
"Международный университет ""МИТСО""",1,0.1
ФГБУ «Институт прикладной геофизики»,1,0.1
"OOO ""Philosophy IT""",1,0.1
СБЕР,1,0.1
Международная консалтинговая компания,1,0.1
Raiffeisenbank,1,0.1
"Др. Редди'c Лабораторис, ООО",1,0.1
Шате-М Плюс (shate-m.by),1,0.1
D43 Group,1,0.1
DeFi Perps Aggregator,1,0.1
SOFTSWISS,1,0.1
ToYou (https://toyou.io/en),1,0.1
Транскапиталбанк АКБ,1,0.1
SAP Enterprise Cloud Services,1,0.1
ArcelorMittal JSC; KurylysMet (Arcelor) LLP; QarMet JSC,1,0.1
Alvarez & Marsal,1,0.1
"ООО ""АвтоЭксперт""",1,0.1
Vention,1,0.1
Social research (focus migration & integration),1,0.1
SK hynix Memory Solutions Eastern Europe,1,0.1
ПАО «НК «РОСНЕФТЬ»,1,0.1
Eurochem Group (Digital Technologies and Platforms),1,0.1
Japan Tobacco International,1,0.1
Государственный театр наций,1,0.1
ГК Факт,1,0.1
Wildberries,1,0.1
LifeTech (Turkcell group),1,0.1
АО «Компания ТрансТелеКом» (контур РЖД),1,0.1
Union --- AI SaaS,1,0.1
AliExpress Россия,1,0.1
АО «СПЕЦХИМИЯ» (ГК Ростех),1,0.1
